Date,Price,Volume,% change in vs yesterday,Is ATH,Last 7 days growth,Prediction
43237,8330,25439.8448,-0.02,0,-0.074671664,0
43238,8038.82,23476.15825,-0.03,0,-0.043673878,1
43239,8238.01,17193.42428,0.02,0,-0.028013885,0
43240,8233.49,19957.05711,0,0,-0.051409552,1
43241,8526.97,21516.59649,0.04,0,-0.01574445,0
43242,8386.89,23710.90286,-0.02,0,-0.008876152,0
43243,7977.12,42910.66677,-0.05,0,-0.042362545,0
43244,7501.95,37845.4466,-0.06,0,-0.066784677,1
43245,7578.99,26739.95664,0.01,0,-0.079997475,0
43246,7456.99,19464.08607,-0.02,0,-0.094309946,0
43247,7334,18706.94552,-0.02,0,-0.1399055,1
43248,7338.99,27219.43896,0,0,-0.124945003,0
43249,7099,39407.21183,-0.03,0,-0.110079828,1
43250,7467.98,32041.58362,0.05,0,-0.004528156,0
43251,7382.07,30776.0631,-0.01,0,-0.025982354,1
43252,7485.01,28259.12408,0.01,0,0.003757548,1
43253,7521.01,26720.69022,0,0,0.025499046,1
43254,7636.81,27505.15895,0.02,0,0.040580516,1
43255,7714.26,32258.83512,0.01,0,0.086668545,0
43256,7487,31722.97338,-0.03,0,0.002546873,1
43257,7626.64,27229.9919,0.02,0,0.033130274,1
43258,7658.79,25062.2272,0,0,0.02321707,1
43259,7691.08,23396.80467,0,0,0.022612654,0
43260,7603.44,19339.88518,-0.01,0,-0.004369626,0
43261,7491.73,52342.02003,-0.01,0,-0.028846578,0
43262,6765,34552.1623,-0.1,0,-0.096433819,1
43263,6872,36722.21119,0.02,0,-0.098947898,0
43264,6530,46185.5181,-0.05,0,-0.1473849,0
43265,6292.78,44478.13084,-0.04,0,-0.181808017,1
43266,6638.67,30018.32991,0.05,0,-0.126885988,0
43267,6380.01,22277.24115,-0.04,0,-0.148392961,1
43268,6482.5,19847.24769,0.02,0,-0.041759054,0
43269,6444.06,31821.435,-0.01,0,-0.062272992,1
43270,6711.39,24311.42114,0.04,0,0.027777948,1
43271,6740,26359.75245,0,0,0.071068749,1
43272,6763.21,25428.85405,0,0,0.018759782,0
43273,6717.69,52157.37083,-0.01,0,0.052927817,0
43274,6045.92,26622.78859,-0.1,0,-0.067347474,1
43275,6149.98,47445.99896,0.02,0,-0.045635826,0
43276,6137.95,39164.51531,0,0,-0.085442807,1
43277,6252,19377.24048,0.02,0,-0.072403561,0
43278,6065.89,19225.6711,-0.03,0,-0.103104887,1
43279,6134.73,30585.26603,0.01,0,-0.086779831,0
43280,5851.01,33911.28728,-0.05,0,-0.03223827,1
43281,6197.92,37919.61284,0.06,0,0.007795147,1
43282,6391.08,27562.96597,0.03,0,0.041240153,0
43283,6360.82,36230.45226,0,0,0.01740563,1
43284,6615.29,38657.78169,0.04,0,0.090572035,0
43285,6511.01,23571.89278,-0.02,0,0.061336033,1
43286,6585.53,35071.9729,0.01,0,0.1255373,0
43287,6529.2,29397.09475,-0.01,0,0.05345019,1
43288,6609.79,23973.87689,0.01,0,0.034221133,1
43289,6753.48,24622.94779,0.02,0,0.061731035,0
43290,6712.1,26732.40655,-0.01,0,0.014634279,0
43291,6662.78,38560.6727,-0.01,0,0.023309748,0
43292,6296.91,28715.49849,-0.05,0,-0.043826389,1
43293,6378.07,31306.66335,0.01,0,-0.023146787,0
43294,6251.4,26375.32529,-0.02,0,-0.054221087,0
43295,6214.57,17783.072,-0.01,0,-0.079797379,1
43296,6250.9,22979.21151,0.01,0,-0.06871173,1
43297,6354.15,36204.87708,0.02,0,-0.046321505,1
43298,6723.33,52105.42346,0.06,0,0.067718929,1
43299,7317.44,59487.64345,0.09,0,0.147281231,1
43300,7381.88,41218.25644,0.01,0,0.180836293,1
43301,7468.86,46140.31345,0.01,0,0.201830537,0
43302,7337.47,28886.49029,-0.02,0,0.173826169,1
43303,7399.25,30270.21844,0.01,0,0.164475186,0
43304,7394.78,41646.34667,0,0,0.099868666,1
43305,7721.65,60121.16375,0.04,0,0.055239264,1
43306,8397.24,48257.64912,0.09,0,0.137547617,0
43307,8175.63,43223.48168,-0.03,0,0.094628899,0
43308,7920,43671.00589,-0.03,0,0.079391125,1
43309,8188.57,26215.17384,0.03,0,0.106675677,1
43310,8225.04,25531.22619,0,0,0.112276498,0
43311,8210.99,39692.41654,0,0,0.063372466,0
43312,8171.4,48296.91559,0,0,-0.026894551,0
43313,7735.67,42582.31293,-0.05,0,-0.05381359,0
43314,7600.08,37665.69668,-0.02,0,-0.040393939,0
43315,7525.71,44669.48605,-0.01,0,-0.080949421,0
43316,7412.27,36288.42601,-0.02,0,-0.098816541,0
43317,7009.84,32894.84978,-0.05,0,-0.146285649,1
43318,7024.19,32760.19164,0,0,-0.140393323,0
43319,6935,45438.4735,-0.01,0,-0.10350364,0
43320,6720.63,59550.53632,-0.03,0,-0.115715887,0
43321,6283.27,51941.18511,-0.07,0,-0.165092729,1
43322,6529.79,59034.9749,0.04,0,-0.119056645,0
43323,6148.13,47133.41856,-0.06,0,-0.122928626,1
43324,6222.55,38567.77071,0.01,0,-0.114125614,1
43325,6308.56,53895.82878,0.01,0,-0.090330209,0
43326,6248.25,50186.74509,-0.01,0,-0.070288053,0
43327,6188.08,68806.68703,-0.01,0,-0.015149755,1
43328,6265.27,48515.25462,0.01,0,-0.040509725,1
43329,6316,57851.6108,0.01,0,0.027304237,1
43330,6579.04,53742.32217,0.04,0,0.057290018,0
43331,6387.96,45190.84799,-0.03,0,0.012586074,1
43332,6477.53,49435.55526,0.01,0,0.036695075,0
43333,6251,41569.94741,-0.03,0,0.010167936,1
43334,6479.98,77909.39136,0.04,0,0.034269872,0
43335,6362.57,40358.16683,-0.02,0,0.007373338,1
43336,6525,38305.67532,0.03,0,-0.008213964,1
43337,6686.98,19220.50593,0.02,0,0.046809936,1
43338,6733.64,20107.29721,0.01,0,0.039538219,0
43339,6700,37747.07875,0,0,0.071828507,1
43340,6907.26,48352.91716,0.03,0,0.065938475,1
43341,7077,43252.48739,0.02,0,0.112286387,0
43342,7033.21,44716.77462,-0.01,0,0.07788659,0
43343,6984.84,40467.40064,-0.01,0,0.044543277,1
43344,7011.21,40323.41409,0,0,0.04122139,1
43345,7201.57,39814.84035,0.03,0,0.074861194,1
43346,7302,32396.01837,0.01,0,0.057148565,0
43347,7263,35300.64052,-0.01,0,0.026282323,1
43348,7359.05,63715.25627,0.01,0,0.046328774,0
43349,6697.27,60644.46423,-0.09,0,-0.041170592,0
43350,6516.84,38906.28805,-0.03,0,-0.070511367,0
43351,6395.54,38215.03217,-0.02,0,-0.111924205,0
43352,6185.06,37053.92382,-0.03,0,-0.152963572,1
43353,6252.26,32439.45643,0.01,0,-0.13916288,1
43354,6311.99,33104.88859,0.01,0,-0.142281952,0
43355,6293,31433.64594,0,0,-0.060363402,1
43356,6338.62,40465.06311,0.01,0,-0.02734761,1
43357,6487.39,37173.33928,0.02,0,0.014361571,0
43358,6476.63,25243.65661,0,0,0.047141014,1
43359,6514.96,27568.1329,0.01,0,0.042016807,0
43360,6500.08,35987.25474,0,0,0.029798843,0
43361,6248.69,32620.86667,-0.04,0,-0.007041157,1
43362,6336.39,39044.08008,0.01,0,-0.000351812,1
43363,6392,25189.02473,0.01,0,-0.01470391,1
43364,6492,51779.34346,0.02,0,0.002373148,1
43365,6759.01,29349.69067,0.04,0,0.037459938,0
43366,6723.05,30286.22977,-0.01,0,0.034302655,0
43367,6706.81,35305.73991,0,0,0.073314567,0
43368,6581.42,40301.02945,-0.02,0,0.038670284,0
43369,6445.11,33484.54207,-0.02,0,0.008308824,1
43370,6467.84,33087.4283,0,0,-0.003721503,1
43371,6689.12,42399.44852,0.03,0,-0.010340272,0
43372,6634.58,30255.9597,-0.01,0,-0.013159206,0
43373,6597.66,27764.72452,-0.01,0,-0.016274503,1
43374,6626.57,20621.50689,0,0,0.006860222,0
